Time_Y,Left_Sensor,Right_Sensor
0.20,0.7079,0.7079
0.40,0.7144,0.7144
0.60,0.7208,0.7208
0.80,0.7270,0.7270
1.00,0.7330,0.7330
1.20,0.7389,0.7389
1.40,0.7446,0.7446
1.60,0.7501,0.7501
1.80,0.7554,0.7554
2.00,0.7606,0.7606
2.20,0.7657,0.7657
2.40,0.7705,0.7705
2.60,0.7752,0.7752
2.80,0.7797,0.7797
3.00,0.7840,0.7840
3.20,0.7882,0.7882
3.40,0.7921,0.7921
3.60,0.7959,0.7959
3.80,0.7995,0.7995
4.00,0.8030,0.8030
4.20,0.8062,0.8062
4.40,0.8093,0.8093
4.60,0.8122,0.8122
4.80,0.8149,0.8149
5.00,0.8174,0.8174
5.20,0.8198,0.8198
5.40,0.8219,0.8219
5.60,0.8239,0.8239
5.80,0.8257,0.8257
6.00,0.8273,0.8273
6.20,0.8287,0.8287
6.40,0.8299,0.8299
6.60,0.8309,0.8309
6.80,0.8318,0.8318
7.00,0.8325,0.8325
7.20,0.8329,0.8329
7.40,0.8332,0.8332
7.60,0.8333,0.8333
7.80,0.8332,0.8332
8.00,0.8330,0.8330
8.20,0.8325,0.8325
8.40,0.8319,0.8319
8.60,0.8310,0.8310
8.80,0.8300,0.8300
9.00,0.8288,0.8288
9.20,0.8274,0.8274
9.40,0.8258,0.8258
9.60,0.8241,0.8241
9.80,0.8221,0.8221
10.00,0.8200,0.8200
10.20,0.8177,0.8177
10.40,0.8152,0.8152
10.60,0.8125,0.8125
10.80,0.8096,0.8096
11.00,0.8066,0.8066
11.20,0.8033,0.8033
11.40,0.7999,0.7999
11.60,0.7963,0.7963
11.80,0.7925,0.7925
12.00,0.7886,0.7886
12.20,0.7845,0.7845
12.40,0.7801,0.7801
12.60,0.7757,0.7757
12.80,0.7710,0.7710
13.00,0.7662,0.7662
13.20,0.7612,0.7612
13.40,0.7560,0.7560
13.60,0.7507,0.7507
13.80,0.7451,0.7451
14.00,0.7395,0.7395
14.20,0.7336,0.7336
14.40,0.7276,0.7276
14.60,0.7214,0.7214
14.80,0.7151,0.7151
15.00,0.7086,0.7086
15.20,0.7019,0.7019
15.40,0.6951,0.6951
15.60,0.6882,0.6882
15.80,0.6810,0.6810
16.00,0.6737,0.6737
16.20,0.6663,0.6663
16.40,0.6587,0.6587
16.60,0.6510,0.6510
16.80,0.6431,0.6431
17.00,0.6351,0.6351
17.20,0.6269,0.6269
17.40,0.6186,0.6186
17.60,0.6102,0.6102
17.80,0.6016,0.6016
18.00,0.5929,0.5929
18.20,0.5840,0.5840
18.40,0.5751,0.5751
18.60,0.5660,0.5660
18.80,0.5567,0.5567
19.00,0.5473,0.5473
19.20,0.5379,0.5379
19.40,0.5283,0.5283
19.60,0.5185,0.5185
19.80,0.5087,0.5087
20.00,0.4987,0.4987
20.20,0.4887,0.4887
20.40,0.4785,0.4785
20.60,0.4682,0.4682
20.80,0.4578,0.4578
21.00,0.4473,0.4473
21.20,0.4367,0.4367
21.40,0.4260,0.4260
21.60,0.4152,0.4152
21.80,0.4043,0.4043
22.00,0.3934,0.3934
22.20,0.3823,0.3823
22.40,0.3711,0.3711
22.60,0.3599,0.3599
22.80,0.3486,0.3486
23.00,0.3372,0.3372
23.20,0.3257,0.3257
23.40,0.3142,0.3142
23.60,0.3026,0.3026
23.80,0.2909,0.2909
24.00,0.2792,0.2792
24.20,0.2673,0.2673
24.40,0.2555,0.2555
24.60,0.2435,0.2435
24.80,0.2316,0.2316
25.00,0.2195,0.2195
25.20,0.2075,0.2075
25.40,0.1953,0.1953
25.60,0.1831,0.1831
25.80,0.1709,0.1709
26.00,0.1587,0.1587
26.20,0.1464,0.1464
26.40,0.1341,0.1341
26.60,0.1217,0.1217
26.80,0.1093,0.1093
27.00,0.0969,0.0969
27.20,0.0845,0.0845
27.40,0.0721,0.0721
27.60,0.0596,0.0596
27.80,0.0471,0.0471
28.00,0.0346,0.0346
28.20,0.0222,0.0222
28.40,0.0097,0.0097
28.60,-0.0028,-0.0028
28.80,-0.0153,-0.0153
29.00,-0.0278,-0.0278
29.20,-0.0403,-0.0403
29.40,-0.0528,-0.0528
29.60,-0.0653,-0.0653
29.80,-0.0777,-0.0777
30.00,-0.0902,-0.0902
30.20,-0.1026,-0.1026
30.40,-0.1150,-0.1150
30.60,-0.1273,-0.1273
30.80,-0.1397,-0.1397
31.00,-0.1520,-0.1520
31.20,-0.1643,-0.1643
31.40,-0.1765,-0.1765
31.60,-0.1887,-0.1887
31.80,-0.2008,-0.2008
32.00,-0.2130,-0.2130
32.20,-0.2250,-0.2250
32.40,-0.2370,-0.2370
32.60,-0.2490,-0.2490
32.80,-0.2609,-0.2609
33.00,-0.2727,-0.2727
33.20,-0.2845,-0.2845
33.40,-0.2962,-0.2962
33.60,-0.3079,-0.3079
33.80,-0.3195,-0.3195
34.00,-0.3310,-0.3310
34.20,-0.3424,-0.3424
34.40,-0.3538,-0.3538
34.60,-0.3650,-0.3650
34.80,-0.3762,-0.3762
35.00,-0.3873,-0.3873
35.20,-0.3984,-0.3984
35.40,-0.4093,-0.4093
35.60,-0.4201,-0.4201
35.80,-0.4309,-0.4309
36.00,-0.4415,-0.4415
36.20,-0.4521,-0.4521
36.40,-0.4625,-0.4625
36.60,-0.4729,-0.4729
36.80,-0.4831,-0.4831
37.00,-0.4933,-0.4933
37.20,-0.5033,-0.5033
37.40,-0.5132,-0.5132
37.60,-0.5230,-0.5230
37.80,-0.5326,-0.5326
38.00,-0.5422,-0.5422
38.20,-0.5516,-0.5516
38.40,-0.5609,-0.5609
38.60,-0.5701,-0.5701
38.80,-0.5792,-0.5792
39.00,-0.5881,-0.5881
39.20,-0.5969,-0.5969
39.40,-0.6055,-0.6055
39.60,-0.6141,-0.6141
39.80,-0.6224,-0.6224
40.00,-0.6307,-0.6307
40.20,-0.6388,-0.6388
40.40,-0.6467,-0.6467
40.60,-0.6545,-0.6545
40.80,-0.6622,-0.6622
41.00,-0.6697,-0.6697
41.20,-0.6771,-0.6771
41.40,-0.6843,-0.6843
41.60,-0.6913,-0.6913
41.80,-0.6982,-0.6982
42.00,-0.7050,-0.7050
42.20,-0.7116,-0.7116
42.40,-0.7180,-0.7180
42.60,-0.7243,-0.7243
42.80,-0.7304,-0.7304
43.00,-0.7363,-0.7363
43.20,-0.7421,-0.7421
43.40,-0.7477,-0.7477
43.60,-0.7531,-0.7531
43.80,-0.7584,-0.7584
44.00,-0.7635,-0.7635
44.20,-0.7684,-0.7684
44.40,-0.7731,-0.7731
44.60,-0.7777,-0.7777
44.80,-0.7821,-0.7821
45.00,-0.7864,-0.7864
45.20,-0.7904,-0.7904
45.40,-0.7943,-0.7943
45.60,-0.7980,-0.7980
45.80,-0.8015,-0.8015
46.00,-0.8048,-0.8048
46.20,-0.8080,-0.8080
46.40,-0.8109,-0.8109
46.60,-0.8137,-0.8137
46.80,-0.8163,-0.8163
47.00,-0.8187,-0.8187
47.20,-0.8210,-0.8210
47.40,-0.8230,-0.8230
